         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
    -2.000    -1.000     0.000    -1.000    -1.000    -1.000    -1.000    -1.000    -2.000    -1.000    -1.000    -2.000    -1.483     0.322  118
     2.000     0.000     2.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     2.000     3.000     0.656     0.322  119
         *         *     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.468     0.339  120
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.152     0.322  121
     0.000     0.000    -2.000    -3.000    -3.000    -3.000     1.000     2.000    -2.000     2.000     2.000     2.000    -0.043     0.322  122
     3.000     1.000     2.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     1.614     0.322  123
     3.000    -2.000     0.000     0.000    -3.000     0.000     3.000     3.000     0.000     3.000     2.000     1.000     0.789     0.322  124
     3.000     3.000     3.000     3.000     3.000     3.000     2.000     2.000     2.000     2.000     3.000     3.000     1.751     0.322  125
     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -2.000    -2.000    -2.000     0.000    -2.000    -1.145     0.322  126
     0.000     0.000    -1.000    -2.000    -3.000    -2.000     1.000    -1.000    -2.000    -2.000    -2.000    -1.000    -1.365     0.322  127
     2.000     0.000     2.000     0.000     2.000     0.000     0.000     1.000     3.000     1.000     1.000    -2.000     0.171     0.322  128
     3.000     1.000     3.000     0.000    -2.000    -2.000     2.000     2.000     0.000     2.000     1.000     2.000     0.714     0.322  129
     1.000     1.000     1.000     3.000     0.000     1.000     1.000     2.000     2.000     2.000     1.000     2.000     0.823     0.322  130
     3.000     2.000     2.000     2.000     1.000     3.000     3.000     2.000     2.000     3.000     2.000     2.000     1.533     0.322  131
     2.000    -1.000     1.000     0.000    -2.000     1.000     3.000     2.000     2.000     1.000     3.000     2.000     1.065     0.322  132
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.386     0.322  133
     3.000     3.000     3.000     2.000     3.000     1.000     2.000     2.000     2.000     1.000     3.000     2.000     1.466     0.322  134
